machine_id,time,status,brand,usage_rate,temp_avg,age_machine,env_humidity,maintenance_freq,operator_experience,shock_events
1,376.6,0,Beta,0.62,67.9,8,51.8,1.7,4,1
2,336.5,0,Alpha,0.55,66.4,3,81.9,1.34,4,0
3,427.4,1,Alpha,0.61,61.0,8,79.0,1.42,3,2
4,551.9,1,Beta,0.42,62.1,4,41.7,0.58,3,0
5,243.3,1,Gamma,0.69,69.6,9,57.4,1.77,4,0
6,67.8,1,Beta,0.41,71.0,7,75.8,1.6,3,0
7,452.3,0,Gamma,0.84,62.6,5,48.0,2.1,3,1
8,63.8,1,Beta,0.4,64.7,6,70.2,0.49,2,0
9,245.8,1,Beta,0.9,62.5,10,47.7,1.1,3,1
10,495.8,1,Beta,0.34,62.0,2,75.5,1.07,3,1
11,400.3,0,Beta,0.48,56.9,7,52.8,1.59,3,0
12,164.1,1,Gamma,0.61,60.6,6,55.7,1.28,2,0
13,363.1,0,Beta,0.47,70.1,4,60.4,1.09,2,0
14,403.7,1,Alpha,0.49,53.9,10,64.1,1.78,4,0
15,562.2,0,Beta,0.41,54.1,2,79.6,1.75,4,1
16,553.4,0,Gamma,0.63,59.7,2,88.9,2.05,5,0
17,214.3,1,Alpha,0.88,63.7,3,30.1,1.72,4,1
18,8.9,1,Alpha,0.61,72.1,6,80.9,1.98,4,2
19,253.9,1,Beta,0.85,63.7,7,54.0,0.69,2,1
20,451.6,1,Beta,0.55,62.3,1,57.0,1.69,2,0
21,107.5,1,Beta,0.57,67.1,2,77.1,0.95,3,0
22,62.8,1,Gamma,0.53,60.0,10,77.3,1.44,2,1
23,60.1,1,Gamma,0.34,57.3,1,73.3,1.0,3,0
24,28.3,1,Beta,0.43,65.0,1,70.6,1.61,2,1
25,568.3,1,Gamma,0.34,63.0,6,42.0,1.8,5,0
26,209.7,1,Beta,0.45,62.7,6,44.2,1.13,3,0
27,115.8,1,Beta,0.73,70.1,8,53.2,1.38,4,0
28,353.2,1,Alpha,0.67,72.6,10,45.4,1.07,2,0
29,36.2,1,Alpha,0.67,59.3,10,64.5,1.3,4,1
30,17.0,1,Beta,0.56,64.1,4,57.9,1.71,2,1
31,96.1,1,Alpha,0.68,66.2,9,32.4,1.56,2,0
32,79.7,1,Beta,0.72,67.8,10,53.4,1.1,2,0
33,384.5,1,Beta,0.49,69.7,1,83.0,0.74,3,1
34,128.3,1,Beta,0.82,68.7,6,78.2,0.68,3,1
35,12.9,1,Beta,0.73,58.3,9,32.7,0.96,3,1
36,45.7,1,Beta,0.56,63.4,10,77.5,1.67,3,1
37,186.8,1,Beta,0.79,74.2,2,65.6,1.26,4,1
38,590.7,1,Gamma,0.71,54.2,5,84.1,2.18,4,0
39,385.3,0,Gamma,0.56,68.7,1,34.1,2.16,5,1
40,89.1,1,Beta,0.77,64.5,1,59.1,1.28,3,0
41,182.8,1,Beta,0.87,60.3,6,57.6,0.79,2,2
42,262.9,1,Alpha,0.87,61.5,1,72.0,0.66,1,0
43,16.9,1,Beta,0.52,56.5,6,44.1,0.83,3,0
44,800.4,1,Beta,0.33,67.6,8,41.7,0.73,4,1
45,235.7,1,Gamma,0.37,49.1,10,74.0,0.73,3,0
46,50.2,1,Alpha,0.86,56.4,9,53.7,1.48,3,0
47,350.9,1,Beta,0.45,63.3,1,42.5,0.56,3,0
48,205.2,1,Gamma,0.82,62.5,5,71.0,1.77,3,0
49,244.9,1,Beta,0.78,69.0,7,58.6,1.04,3,1
50,11.4,1,Beta,0.51,65.7,5,72.5,1.26,3,0
51,424.6,1,Alpha,0.5,66.0,1,56.6,0.71,3,1
52,42.9,1,Gamma,0.43,61.3,7,57.0,0.94,2,0
53,29.1,1,Beta,0.68,63.3,8,39.4,0.81,3,0
54,121.7,1,Beta,0.6,61.7,5,53.3,0.62,3,1
55,66.7,1,Beta,0.76,71.7,10,66.4,0.59,3,0
56,118.5,1,Beta,0.31,63.6,10,38.3,1.01,2,0
57,19.7,1,Beta,0.88,67.1,6,46.8,0.46,3,0
58,387.4,1,Beta,0.35,49.6,4,60.0,1.34,3,1
59,502.8,1,Gamma,0.36,65.9,7,70.4,2.11,3,0
60,191.9,1,Beta,0.64,68.0,5,51.2,1.67,3,0
61,40.5,1,Beta,0.56,75.8,4,65.6,1.5,4,0
62,291.4,1,Beta,0.55,67.6,2,89.2,0.57,2,0
63,69.0,1,Beta,0.42,62.0,8,55.0,0.77,2,0
64,221.1,1,Beta,0.79,62.8,9,60.9,1.48,3,0
65,58.2,1,Gamma,0.5,68.2,6,56.3,1.55,3,1
66,281.5,1,Alpha,0.39,66.7,10,76.0,1.49,3,0
67,290.2,1,Gamma,0.47,61.5,10,83.8,1.77,4,1
68,440.2,0,Alpha,0.55,64.6,1,78.1,1.67,4,1
69,569.8,0,Alpha,0.84,66.9,7,85.1,0.89,3,0
70,120.0,1,Beta,0.8,65.0,6,34.1,1.7,3,1
71,103.7,1,Alpha,0.7,66.1,6,38.3,1.44,3,0
72,35.2,1,Gamma,0.86,59.4,6,35.5,1.96,3,1
73,403.3,1,Beta,0.67,73.5,6,66.5,1.04,2,0
74,70.7,1,Gamma,0.75,65.7,7,69.5,0.79,2,0
75,410.1,1,Alpha,0.51,64.7,8,41.5,1.45,2,0
76,26.6,1,Beta,0.48,62.5,4,89.1,0.67,2,1
77,386.6,1,Beta,0.67,67.6,1,38.7,1.74,3,0
78,627.4,1,Alpha,0.81,61.6,10,44.5,0.86,2,2
79,786.6,1,Alpha,0.49,58.9,9,77.2,1.05,3,1
80,484.6,1,Beta,0.61,62.5,9,79.2,0.99,3,0
81,390.0,1,Beta,0.31,76.6,2,56.8,1.52,3,1
82,80.2,1,Beta,0.88,75.9,6,52.7,0.63,2,0
83,110.0,1,Beta,0.83,65.8,2,76.5,1.53,4,2
84,181.2,1,Beta,0.56,63.1,2,78.2,1.41,3,0
85,645.4,1,Gamma,0.67,68.7,9,38.8,1.31,2,0
86,569.9,1,Gamma,0.48,66.3,9,45.2,1.36,3,0
87,74.4,1,Beta,0.9,58.5,8,43.0,0.76,2,1
88,424.7,1,Alpha,0.37,67.9,10,75.3,1.33,3,0
89,148.1,1,Beta,0.47,68.9,5,82.4,0.82,3,1
90,574.9,1,Beta,0.62,63.9,4,68.3,1.08,4,0
91,356.2,0,Gamma,0.35,58.3,5,71.7,2.13,3,0
92,380.0,1,Gamma,0.65,67.3,4,57.2,0.67,2,0
93,175.4,1,Beta,0.75,56.9,7,75.9,1.61,3,0
94,106.7,1,Gamma,0.38,62.9,2,49.2,1.26,4,2
95,241.7,1,Beta,0.64,68.7,7,83.4,1.11,3,0
96,101.6,1,Beta,0.38,71.7,6,68.9,1.15,3,0
97,419.4,0,Alpha,0.4,57.0,5,33.8,1.91,2,0
98,389.2,0,Beta,0.53,67.1,3,65.0,1.61,2,0
99,2.9,1,Alpha,0.7,75.3,7,85.4,1.93,2,2
100,246.3,1,Beta,0.31,64.7,8,84.7,1.26,3,0
101,530.6,1,Beta,0.68,72.6,5,54.9,1.39,2,0
102,356.5,1,Beta,0.44,64.8,6,80.4,1.34,2,0
103,172.9,1,Alpha,0.88,64.9,4,70.2,1.63,3,2
104,109.1,1,Alpha,0.55,59.2,4,86.5,1.28,3,1
105,305.1,0,Beta,0.65,65.3,8,77.0,0.75,2,0
106,76.8,1,Beta,0.75,66.9,3,64.2,1.45,2,1
107,114.6,1,Gamma,0.39,62.7,1,47.5,0.82,4,0
108,192.4,1,Beta,0.85,68.8,8,55.8,1.37,4,0
109,139.2,1,Gamma,0.69,61.7,1,59.7,0.74,2,0
110,140.8,1,Beta,0.81,63.5,10,39.1,0.5,4,0
111,238.8,1,Beta,0.57,52.0,6,50.1,1.52,4,1
112,305.6,1,Beta,0.41,68.1,5,55.5,0.84,4,0
113,349.5,1,Alpha,0.55,67.2,5,66.5,1.75,2,2
114,620.4,0,Gamma,0.49,73.3,3,77.8,1.98,2,0
115,105.4,1,Beta,0.41,63.8,9,34.3,0.69,2,0
116,98.1,1,Beta,0.85,62.6,8,45.5,1.04,3,2
117,601.4,1,Beta,0.7,66.4,2,58.5,0.64,2,0
118,4.4,1,Beta,0.79,70.1,8,42.0,0.69,2,0
119,583.6,1,Alpha,0.83,69.9,9,34.5,1.79,2,1
120,46.5,1,Gamma,0.83,77.1,9,86.9,0.65,3,1
121,1020.3,0,Gamma,0.43,59.5,3,83.8,0.62,3,0
122,315.6,1,Alpha,0.32,62.7,9,71.4,0.71,2,0
123,174.9,1,Alpha,0.82,57.8,2,80.2,0.5,4,0
124,840.3,0,Beta,0.6,63.1,2,58.4,0.97,3,0
125,707.4,0,Gamma,0.47,61.4,7,53.3,1.66,3,0
126,260.3,1,Gamma,0.78,69.7,9,58.6,1.52,3,0
127,341.7,0,Alpha,0.49,55.0,6,44.8,0.94,2,0
128,162.2,1,Beta,0.65,64.8,2,58.3,1.05,2,1
129,477.0,0,Gamma,0.75,71.8,9,50.2,0.76,2,1
130,202.8,1,Beta,0.37,60.8,6,40.8,1.08,4,0
131,551.8,1,Gamma,0.37,64.6,8,52.6,2.16,3,0
132,673.6,1,Alpha,0.32,64.4,2,72.7,1.3,4,0
133,203.4,1,Beta,0.53,66.4,3,52.8,1.8,3,1
134,150.4,1,Gamma,0.89,66.1,2,40.1,1.23,3,0
135,287.3,1,Gamma,0.88,73.2,6,53.6,1.43,4,1
136,54.1,1,Alpha,0.87,58.9,2,30.4,0.7,3,2
137,7.9,1,Beta,0.83,59.3,5,44.3,1.22,5,1
138,682.1,1,Alpha,0.49,55.3,2,52.5,1.88,4,0
139,74.1,1,Beta,0.76,56.0,8,60.0,1.04,4,0
140,43.6,1,Beta,0.83,70.8,3,38.6,0.49,1,2
141,36.3,1,Alpha,0.57,67.7,1,49.4,1.92,2,0
142,17.4,1,Alpha,0.84,68.5,4,79.4,1.91,4,3
143,316.1,1,Gamma,0.67,68.1,5,42.7,1.86,4,1
144,6.5,1,Beta,0.72,69.5,9,79.5,1.06,3,0
145,397.7,1,Beta,0.68,67.0,1,51.6,1.52,3,0
146,56.0,1,Gamma,0.74,69.8,4,75.1,1.66,2,2
147,307.5,1,Gamma,0.8,64.6,2,53.2,0.89,2,0
148,248.9,1,Alpha,0.86,63.9,3,50.9,0.66,2,1
149,165.8,1,Gamma,0.63,63.4,4,52.8,1.81,5,0
150,290.9,1,Gamma,0.48,74.9,3,56.5,1.59,3,0
151,123.8,1,Alpha,0.77,59.7,10,69.6,0.87,4,0
152,4.2,1,Gamma,0.83,73.0,10,72.4,1.12,2,0
153,118.7,1,Alpha,0.68,62.5,6,52.7,0.52,2,0
154,114.2,1,Beta,0.58,60.5,10,51.7,1.75,3,0
155,243.3,1,Beta,0.55,74.7,4,73.9,1.27,4,0
156,148.6,1,Alpha,0.75,62.7,6,62.8,0.98,3,0
157,517.7,1,Beta,0.53,68.1,10,60.9,1.67,3,0
158,579.5,0,Gamma,0.52,61.6,7,31.4,1.32,4,0
159,273.1,1,Beta,0.49,66.3,9,38.8,1.29,4,0
160,60.0,1,Beta,0.74,75.9,8,49.6,1.7,2,1
161,24.7,1,Beta,0.54,65.3,8,69.0,1.1,3,0
162,241.9,1,Gamma,0.86,69.9,1,89.7,1.97,3,2
163,261.8,1,Beta,0.61,70.9,9,36.6,1.68,3,1
164,74.5,1,Alpha,0.87,70.5,10,76.5,0.81,3,2
165,13.6,1,Beta,0.38,67.1,1,78.2,1.74,3,0
166,254.4,1,Gamma,0.83,63.2,6,30.4,2.09,3,1
167,317.5,1,Beta,0.81,70.9,4,79.4,1.39,3,3
168,220.8,1,Gamma,0.53,69.5,7,78.9,2.12,2,0
169,186.5,1,Gamma,0.7,62.9,9,48.6,1.24,3,0
170,788.3,1,Beta,0.82,61.3,2,82.4,0.47,2,2
171,382.1,0,Gamma,0.52,72.6,3,84.2,1.85,4,1
172,65.2,1,Alpha,0.86,59.5,3,33.1,1.32,2,1
